Composite.Element.REF	TCGA-ND-A4WA-01	TCGA-NG-A4VU-01	TCGA-NG-A4VW-01	TCGA-QN-A5NN-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PQ-01	TCGA-N8-A56S-01	TCGA-N8-A4PO-01	TCGA-N8-A4PN-01	TCGA-N8-A4PM-01	TCGA-N8-A4PP-01	TCGA-N5-A4RV-01	TCGA-NA-A4QW-01	TCGA-NA-A4R1-01	TCGA-NA-A4QX-01	TCGA-N7-A59B-01	TCGA-N7-A4Y8-01	TCGA-N7-A4Y5-01	TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4VD-01	TCGA-N6-A4VC-01	TCGA-N6-A4VE-01	TCGA-N6-A4V9-01	TCGA-NF-A4X2-01	TCGA-NF-A5CP-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q3-01	TCGA-N9-A4Q1-01	TCGA-N9-A4PZ-01	TCGA-NA-A4R0-01	TCGA-NA-A4QY-01	TCGA-NA-A4QV-01	TCGA-ND-A4WC-01	TCGA-ND-A4WF-01	TCGA-ND-A4W6-01	TCGA-N7-A4Y0-01	TCGA-N9-A4Q4-01
RPS6KB1|p70S6K_pT389	0.5036	0.474	1.6586	0.3368	-0.4561	0.0135	-0.3057	-0.3143	-0.2856	0.2027	-0.8542	-0.2259	-0.548	-0.0332	0.5587	-1.6334	-0.5973	-0.3378	-1.4197	-0.5718	0.6042	2.1204	-0.0855	-0.2795	-0.2307	-0.2071	-1.4398	-0.4059	-0.365	-0.7581	-0.8478	-0.0952	-0.1765	0.4219	-0.187	-0.3816	0.3888	-0.8913	0.9946	3.5683	-1.9759	-0.0877	0.3486	1.4465	2.5186	0.7584	-0.5532	-0.3671
RPS6KA1|p90RSK_pT359_S363	-0.5246	-1.1751	1.6955	0.033	-0.3071	0.4194	0.0113	-0.4383	-0.2523	0.0802	0.5308	0.0459	-0.6986	-0.3436	-0.1943	-1.0711	0.2035	-0.4442	-1.3333	-0.8011	0.5807	-0.8621	-0.0129	-0.0084	-0.4587	-0.7324	-0.9487	-0.6559	-0.2069	-0.251	-0.9437	-0.0004	-0.2818	0.6984	-0.2429	0.8402	-0.4233	-0.3171	0.9762	3.2791	-0.775	-0.1363	1.0849	0.1245	4.203	0.8961	-0.2308	-0.6308
SERPINE1|PAI-1	-0.4026	-1.2303	2.5512	-0.6711	1.4554	0.1601	-0.8713	-0.7493	-0.2317	-1.0714	-0.792	1.0675	-0.0933	-0.9693	0.2659	-0.2067	-0.535	-0.507	-0.777	-0.331	1.1978	-0.6003	-0.4504	-0.7691	-1.017	1.2635	-0.4293	-0.74	-0.6885	-0.4688	-0.2037	-0.0602	-0.3184	2.9064	-0.0006	-0.3402	-0.1598	-0.97	-0.6731	2.5499	0.7051	0.8389	0.7395	1.2485	-0.2843	-0.2192	1.7665	-0.8843
PXN|Paxillin	0.1169	0.6603	-2.951	0.4587	2.5822	1.5443	0.3959	0.0098	-0.2215	-0.058	0.5653	-0.3914	0.3761	-0.0906	-1.3122	0.7034	-0.0053	0.137	1.4967	0.2704	1.1684	-0.2989	0.7579	-0.235	0.3443	0.1283	-0.1525	-0.7167	0.0413	0.0226	-1.8657	-0.2391	-0.0394	1.1133	-0.2452	-0.192	-0.7481	-0.4705	0.2322	-2.0139	2.8794	-0.2311	-0.5034	-0.4601	-0.3085	-0.0137	-1.4796	-0.7613
PCNA|PCNA	0.2268	-0.2822	1.9024	-0.1146	0.3191	0.0799	-0.0648	-0.6835	1.1386	-0.421	0.3534	-0.0159	1.0659	-0.9992	2.9706	-1.6094	-0.5539	0.2333	-0.9353	-0.821	-0.1322	-0.6541	-1.0688	-0.0615	1.8291	-0.4756	1.0313	0.8792	0.315	0.2443	0.3282	0.0264	1.3448	-1.0762	0.7265	-1.7471	-0.0055	0.0026	0.0731	0.3229	-2.9125	-0.2742	-0.2714	1.0816	0.4564	-0.9013	0.4235	-1.2937
PDK1|PDK1_pS241	-1.0834	0.3856	-2.8361	1.3042	-0.0895	-0.1824	-0.9076	0.0661	0.1856	-0.5966	0.2472	0.2337	1.4446	-0.3629	2.0289	1.3169	-1.0529	0.2614	0.3217	-0.0357	-0.046	1.1371	0.7648	0.1364	-1.201	-0.3095	-0.2265	0.003	-0.0647	0.9713	1.6804	-0.3385	-0.3756	-0.9407	0.2652	-0.3216	0.4147	-0.6994	0.2631	-3.8656	0.0943	0.594	-0.0393	-0.2716	1.182	0.2457	0.2488	0.0502
PEA15|PEA15	-0.3668	0.7826	1.0521	0.7825	2.0108	-0.1305	-1.0827	-1.4441	0.5566	-0.8877	-0.3622	0.0352	-0.0086	-0.6475	-0.3383	-0.6192	-0.1371	-0.3288	-0.2287	0.1606	-0.5845	0.0552	0.181	1.5542	0.5552	0.9158	1.5281	1.0416	-0.6041	0.0003	0.9997	-0.5182	-1.327	-1.1595	0.625	0.2103	0.0641	-0.6343	-0.3932	-0.8757	2.5318	-0.3316	2.8941	-1.2107	-1.0879	-0.2703	-1.4056	-1.5518
PIK3CA |PI3K-p110-alpha	0.5712	-0.543	-1.6704	0.3461	-0.349	-0.7333	-0.7816	-0.706	0.2011	0.3764	-0.3968	0.6554	0.4552	-0.8529	-1.1278	-0.343	1.3626	1.0133	0.5623	-0.5535	0.0835	0.2608	-0.1874	1.8912	0.8586	-0.0529	-1.0251	1.2817	1.4408	0.2441	-0.9126	-0.1999	0.8724	-0.7834	0.1583	-0.4674	-0.4212	0.111	2.0984	-2.4566	-0.0949	1.8381	-0.0067	-1.5762	1.7711	-0.0634	-2.1708	0.0222
PRKCA |PKC-alpha	1.2672	-1.1305	-1.2668	1.7231	-1.5306	0.377	-0.5117	0.961	0.6763	-1.2661	0.0386	0.0361	2.6286	-0.9411	0.0743	-1.2578	0.5711	-0.3654	0.4043	-0.2929	-2.1466	1.4303	1.1936	0.0298	-0.7148	0.3365	0.2678	0.068	-1.6092	0.6857	-0.8735	0.9435	0.5024	-1.0815	0.3196	-0.5419	1.4447	1.7127	-0.7693	-1.1361	-0.4345	0.5168	0.2226	0.5434	0.0068	0.5269	-1.0228	-0.6156
PRKCA |PKC-alpha_pS657	0.8629	-0.8104	-2.297	1.5539	-2.228	0.1272	-0.3986	0.8722	0.8729	-1.0867	-0.1441	0.0482	2.2443	-0.7917	0.1448	-0.9523	0.776	-0.3246	0.4885	-0.4024	-2.1299	1.2822	1.3401	0.15	-0.8028	0.5218	0.0971	0.2252	-1.1993	0.7429	-0.6552	0.8102	0.5432	-0.945	0.6401	-0.1215	1.3142	1.6546	-0.595	-1.1339	-0.5443	0.6435	0.3982	0.5694	-0.0337	0.649	-1.04	-0.9362
PRKCD|PKC-delta_pS664	1.4365	-1.6373	-0.516	1.2774	-1.5149	-1.22	-0.6894	0.7033	0.2318	-0.5383	0.7332	-0.1298	1.3736	-0.149	-0.5295	-0.9494	0.6394	-0.0314	-0.6747	-0.8237	-0.542	0.2125	0.5097	-0.2634	0.503	-1.0897	-0.3665	-0.5035	0.1019	0.1031	0.102	0.537	1.2631	-1.2429	0.6116	0.3446	1.615	0.6875	-0.0353	1.7443	-2.9603	-0.9265	0.1453	0.5399	2.384	1.1218	-0.369	-1.2191
PGR|PR	0.6704	0.0732	2.9164	0.147	1.0325	-0.271	-0.1087	-0.2159	0.8396	-0.1326	0.2197	-0.8151	0.4072	-0.5256	0.2119	-0.3901	-0.5231	-0.2792	0.0519	-0.1381	-0.0685	0.1743	-0.3515	-0.0258	0.4666	-0.4028	0.64	-0.4901	0.1184	-0.2814	-0.5515	0.174	-0.1402	-0.7612	-0.5766	-0.5246	0.003	-0.6721	0.8884	4.0192	-3.4306	-0.5139	0.9865	-1.146	-0.6898	0.01	0.4112	-0.4356
AKT1S1|PRAS40_pT246	-0.9838	0.6484	0.1715	0.6732	-1.4867	-0.3021	0.067	0.1911	-1.6671	0.6017	-0.6852	-1.5867	-1.0854	0.8813	1.5525	1.6601	-0.9138	1.6849	0.4753	1.0549	0.6296	0.8306	0.0119	0.0557	-0.5593	-0.5116	-1.6124	0.0758	-0.0902	0.25	-0.3754	-1.4023	0.0606	0.1896	2.2488	-0.3549	-1.3151	-0.5193	-0.5159	2.3053	1.3735	0.9706	-1.1946	-0.3459	-0.0559	0.1041	-1.3636	0.1587
PTEN|PTEN	0.845	-0.4885	-2.8126	-1.3835	-3.1509	-0.3207	0.4263	0.5904	0.7244	0.0762	0.05	-0.1237	0.8237	0.1177	-0.2735	0.2942	1.1571	-0.4102	-0.4119	0.4133	-1.0437	-2.1464	1.0434	0.858	0.7968	0.6477	-0.5746	0.5148	0.1862	1.2504	-0.7246	0.795	0.4118	-0.1703	0.9672	0.0872	0.5416	0.7	-0.4501	-1.967	1.1842	1.2631	0.5772	-0.8017	0.6445	0.2147	-1.0236	0.0751
RAD50|Rad50	-0.1593	3.8557	-0.5881	-0.5998	-0.0132	-0.5257	0.6017	-0.0621	-0.4671	1.828	-0.4329	-0.6964	-0.489	2.246	0.1225	0.2954	-0.3006	-0.744	2.3868	0.919	2.1505	-0.3335	-0.4613	-0.5278	-0.2298	-0.4888	-0.5603	-0.7517	-0.1809	-0.6604	-0.2064	-0.2091	-0.1694	-1.1251	-0.607	-0.6842	-0.2145	-0.0808	1.4943	-0.6681	-0.5628	-0.3971	-0.8006	-0.6115	0.3684	-0.2784	-1.0167	0.636
RAD51|Rad51	-0.1468	-1.1028	2.2065	0.677	-0.0092	0.2466	0.9317	0.1135	0.2426	0.2301	-0.4182	0.585	-0.8208	0.0582	-0.0746	-1.2123	-1.3596	-1.077	-1.121	-0.6684	1.6207	-0.8199	0.4234	-1.3543	0.1217	0.13	-1.005	-0.3801	0.0704	0.0186	-0.5344	-0.4554	-0.6071	-0.1338	-0.3984	0.2543	0.3895	-1.1241	1.8316	3.4324	-1.9471	0.4793	1.487	-0.2196	-0.0084	1.5971	-0.0624	-0.0864
RB1|Rb_pS807_S811	0.0618	0.9274	-1.5715	-0.7466	-1.4148	-0.7997	-0.814	-0.2204	-1.0372	0.6052	0.0288	-0.3584	-1.1134	0.702	-0.6146	-0.1948	0.5249	1.8943	-0.5986	0.3016	-0.5085	3.2044	0.5505	-0.5981	-1.421	0.3966	-1.1602	1.1462	0.8148	0.3315	1.1851	1.0278	-0.1523	1.5907	-0.5978	1.1317	-0.8269	1.3886	-1.0554	-1.6935	-0.1812	-0.0362	-0.6352	-0.4385	1.2703	-0.3138	-0.4021	0.4201
RPS6|S6	0.4818	-0.451	-4.6243	0.0078	0.4158	0.592	-0.7715	-0.1887	-0.4062	-0.6583	0.4126	-0.1	0.4758	-0.6731	1.2406	-0.4735	0.06	1.4384	0.3917	-0.0251	0.4453	0.1843	-0.5369	1.4162	0.5217	0.3955	0.4731	0.9238	-1.1322	0.2728	-0.6788	0.6811	-0.0795	-0.6245	1.0605	-0.0929	0.7293	0.785	0.3003	-2.2079	0.7678	0.5901	-1.9127	-0.4099	0.5194	-0.0048	-0.2546	0.7238
RPS6|S6_pS235_S236	-0.3799	-0.7563	-1.5285	2.0177	-1.8973	-0.8704	-0.2912	-1.1657	0.4162	-0.7992	-0.7251	-1.5699	-0.3455	0.6764	0.1575	-0.908	1.0095	-0.0506	-0.0533	-0.7204	-0.3239	-0.8247	-1.0198	0.0709	-0.9399	-0.7505	-0.986	0.8317	0.0182	0.5569	0.34	1.1475	0.5251	0.9435	2.2933	1.4537	1.1827	2.0498	-0.6542	-0.7331	0.5325	1.9983	-0.1408	1.0421	-0.9507	-0.3232	0.3387	0.1057
RPS6|S6_pS240_S244	-0.4089	-0.8581	-0.2831	1.4129	0.0335	1.2195	-1.1927	-1.3048	-0.5119	-1.2003	0.0885	-0.0294	-0.8037	-0.7017	-0.2929	-0.1434	0.8977	1.2239	-0.8427	-1.1987	-0.8867	-0.4186	-0.4345	1.5309	-1.2621	-1.3464	-0.9447	0.5982	2.687	0.9556	-0.7076	1.2518	-0.0093	-0.0874	1.5227	1.3097	-0.4668	0.194	-1.0038	0.2674	1.4182	0.8467	-1.1611	0.2891	-1.2466	-0.4718	1.6104	0.8619
SHC1|Shc_pY317	1.4838	-0.8998	-1.563	1.1151	0.0088	0.4086	-1.3489	-0.1856	-0.2953	-0.2756	-0.1404	0.387	1.1183	-1.0556	-0.4255	-1.1561	0.9943	1.6342	-1.3181	0.2867	-0.8127	0.0868	-0.5933	0.1092	-0.409	-0.4004	-0.1708	0.0823	0.0588	-0.5145	-0.0376	1.1488	0.0407	1.9527	-0.0989	0.5261	0.4415	-1.3167	-0.0933	2.6135	-3.2048	0.8696	0.8309	0.7895	0.6476	-0.1181	-0.9459	-0.2546
SMAD1|Smad1	-0.3039	-0.8675	-1.3697	-0.8291	2.3371	0.3387	-0.8971	-1.566	0.1192	-0.4482	1.155	0.0999	1.5112	-2.0631	0.9813	-0.5624	0.8718	-0.5724	0.3382	-0.4472	-0.7572	0.191	-1.1557	0.9377	2.6978	0.7755	0.1962	-0.4927	-0.7361	-1.1331	1.078	0.3948	0.1681	-0.9519	0.7991	-0.5242	0.5554	-0.7138	0.0673	0.8588	1.3965	-1.4301	0.4329	0.5052	1.0612	-0.5428	-1.2268	-0.2768
SMAD3|Smad3	0.5989	0.4941	2.727	-0.6026	-0.0151	0.6692	-0.4696	-0.7181	-0.006	-0.0475	-0.6791	-0.3812	0.8588	-1.5557	1.2838	-0.9989	-0.966	0.699	-0.1143	0.2759	0.3771	0.0257	0.194	1.7278	1.1504	-0.6897	0.259	0.093	0.2304	-0.37	-2.4601	-0.8117	-0.5252	0.0037	0.113	-1.749	-0.2602	-0.9612	0.0697	3.1021	1.308	-0.3752	0.0875	-1.6401	0.0479	-0.1421	0.0669	0.0757
SMAD4|Smad4	1.3978	-0.13	3.7509	-0.4444	0.8256	0.531	-0.5107	-0.2876	0.3849	-0.4854	0.0479	0.3629	1.5754	-1.5882	0.2494	-0.7706	0.1703	0.2069	-0.1122	0.2123	0.3434	0.0483	-1.0571	1.4186	0.4131	-0.6083	-0.3228	-0.0284	-0.5288	-1.4531	0.7896	1.3176	0.1574	-1.1854	0.2325	-1.1429	-0.1341	-0.6043	-0.5574	1.459	-2.8544	-0.6545	-0.3665	-0.063	0.9008	-0.1029	-0.5252	-0.2776
SRC|Src	1.3571	-1.679	-2.2309	-1.3823	0.3848	1.7749	0.6343	0.4303	0.3063	-1.2292	-0.1454	-0.3614	0.0781	-1.5847	0.9366	0.8902	-1.979	1.0706	-0.4455	0.4164	-0.7541	-1.0403	0.9893	0.3249	-0.1835	-0.1573	1.1541	-0.06	0.577	1.36	-1.558	0.6451	0.484	1.3996	0.1574	-0.5823	1.6291	0.867	-0.1768	-1.4086	-0.9218	1.1248	-0.862	-0.3024	-0.6935	0.4233	-0.2816	0.6046
SRC|Src_pY416	1.947	0.3606	0.2983	-0.3762	-1.0198	-1.4432	1.2488	0.1772	-0.8328	-0.0713	-0.9435	-1.1862	-0.3218	0.5028	-0.0765	2.9999	0.9208	1.4069	-0.5184	0.483	0.3717	0.1882	-0.5791	-0.9487	-0.8271	-0.8147	-0.6816	-0.6674	-0.0915	-0.7843	1.1358	0.7567	0.1716	1.5943	0.7802	1.4637	-0.8101	-1.1456	-0.5316	-0.0721	-2.5805	-0.2505	0.5928	0.6956	1.1007	-0.5928	-0.6976	-0.3316
SRC|Src_pY527	0.0249	1.1559	0.0181	-1.2317	-2.9696	-2.2334	0.9537	0.9249	0.0868	0.9968	-1.6055	-1.0851	-0.0282	0.7338	1.0619	1.3669	-0.2264	0.7296	0.2337	0.685	0.0345	0.5293	-0.1025	-0.1892	-1.1147	0.4174	-2.856	-0.1152	0.2798	1.2904	0.3868	-0.3785	-0.033	1.9916	0.7731	-0.4278	-0.6652	-0.6831	0.6297	-0.5603	0.3738	0.006	0.4525	-0.2721	0.8472	-0.3139	-0.5014	0.6083
STAT3|STAT3_pY705	-0.2503	-0.8608	1.2382	-1.1879	-0.7913	-0.503	1.322	-1.5422	1.4196	2.1143	-0.7037	1.0979	0.5379	0.0107	0.6266	-0.2577	1.2215	-1.3731	-0.8505	-0.6649	0.4528	-1.125	-0.1635	-1.2884	-0.6061	1.6307	-0.975	-0.8614	-0.4928	-0.8776	2.0925	0.6672	0.6191	-0.3678	-0.2448	0.825	0.6513	1.8023	-0.5056	-2.0194	0.9221	0.1873	0.4171	0.3136	-0.0612	0.1779	-0.777	-0.9969
STAT5A|STAT5-alpha	2.2982	-0.0136	-2.6103	0.0489	-1.497	0.182	0.3221	-0.025	-0.0092	0.1585	-1.5085	1.0961	-0.1967	0.2132	-1.0813	-0.5636	0.4585	0.2998	-0.6109	1.1646	-0.0596	-0.5054	0.349	0.3302	0.6774	0.5978	-0.6378	0.464	-0.397	0.5591	-0.1461	-0.8951	0.0956	-1.3602	0.2745	1.3024	2.4147	-0.3978	-0.778	-1.8775	1.8939	-0.2144	1.4787	0.2966	-0.3767	0.9597	-1.3291	-0.8444
STMN1|Stathmin	-1.5596	-1.8369	2.6079	0.1181	1.1205	0.4244	0.3773	-0.7771	-0.5064	0.139	-0.0376	0.1215	-0.2606	-0.8254	0.9194	-0.1899	-0.4921	0.2945	-0.6788	-0.8518	0.4554	-0.7729	0.1337	0.606	0.4368	-0.3959	0.6856	-0.4752	0.6486	0.2605	-0.7408	-1.3463	-1.0163	-0.4578	0.3173	-0.8531	-0.78	-1.3845	0.408	3.9521	1.0284	0.4177	1.01	-0.817	-0.3153	-0.0592	1.1149	-0.1671
SYK|Syk	-0.0037	-0.8069	0.5363	-0.1563	1.2403	-1.1772	0.2276	-0.352	0.9504	-0.4235	0.8347	1.3022	-0.2937	-0.5199	-1.3242	-0.2958	1.7018	-1.1317	-1.679	-1.0863	-0.93	-0.2152	-0.0569	-0.3391	-0.2062	0.8152	-0.0668	-0.281	-0.9214	0.7888	2.4805	-1.007	0.1615	-0.3625	-0.2404	0.0459	1.858	-0.1648	-1.1744	-1.7613	2.3764	0.0441	1.3698	0.8149	-0.4684	1.0172	0.2713	-1.3911
TSC2|Tuberin	0.5679	1.1913	-4.2927	0.3364	-0.0867	1.3857	0.6764	0.8787	0.0427	0.4408	-0.2824	-0.3802	0.2547	0.063	0.2337	0.8626	-0.5738	1.5358	0.5879	0.9907	-0.5106	1.2891	0.2427	1.6856	0.1941	-0.0914	-1.5261	0.4618	0.0671	0.0603	-0.5104	-0.242	0.141	-0.6749	-0.2824	-0.1103	-0.0105	-0.723	0.394	-2.3733	0.4966	0.4325	-0.7247	-1.2123	0.4865	0.0618	-1.4036	-0.0499
KDR|VEGFR2	-0.1841	-1.1155	-1.9528	0.4287	1.5823	0.2414	0.0926	0.1452	0.9686	-0.5122	0.5495	0.6822	-1.5109	-0.1313	0.1497	-1.2788	-0.2453	2.0605	-1.7892	0.6365	-1.8848	-0.7896	0.7003	0.4157	1.3389	0.0021	0.5378	1.8789	-0.1705	-0.0893	-0.0899	-0.4239	0.1227	0.7385	1.8949	1.032	0.1782	-0.5412	-1.5635	-1.0366	1.8384	-0.3481	0.1665	0.086	-0.7771	-0.8606	0.1174	-1.2903
XRCC1|XRCC1	2.2935	-1.1528	0.0592	-0.4774	0.1169	1.8066	0.1692	0.4066	0.7173	-0.0206	-0.38	0.5377	1.1345	-0.5489	-1.1033	-0.7611	0.4708	0.706	0.1846	0.8931	-0.3337	-0.2152	0.3733	0.5163	1.5598	0.2927	-0.388	-0.1042	-0.4673	0.4182	0.2186	-0.0663	0.4682	-0.2195	0.0772	-0.9393	-0.2052	1.4093	0.3482	-0.9227	-1.2836	1.0602	-3.8616	-0.8376	0.4041	-0.1232	-2.3248	0.0939
YAP1|YAP	-0.412	-1.5365	-0.7152	-0.6771	0.9556	0.3909	0.5415	-0.3643	0.1486	0.5097	0.9944	0.9269	0.8511	0.3588	-0.5585	0.3075	-0.4279	2.6975	-0.6918	1.0189	-0.1507	-1.3019	-0.1271	-0.2519	0.1062	-0.6261	2.1161	-1.0164	-0.0926	-0.4985	0.1955	0.6783	0.2116	-0.71	-1.4534	-0.31	-1.3228	0.2833	-0.4085	2.0099	2.7739	0.0242	-0.698	0.3407	-1.7462	-0.9553	-0.9738	-0.4144
YAP1|YAP_pS127	-0.8958	-0.0667	-2.8629	-0.8545	-1.35	-1.2406	0.5236	0.7918	0.4536	1.3978	0.7986	-0.2282	0.1645	1.3496	0.4368	0.7119	-0.1456	0.9802	-0.096	1.0881	0.2094	-0.631	0.453	-0.3867	-0.9657	-0.4733	1.0963	-0.2846	-0.3683	-0.2972	0.9673	0.2441	0.1508	0.2191	-1.1057	0.4737	-0.2644	0.5945	-0.354	-1.5568	3.1119	0.6963	-0.0842	0.6848	-2.3711	0.0092	-1.0543	0.3308
YBX1|YB-1	0.7329	1.9286	-3.1128	-0.204	2.1456	0.9701	-0.9032	-0.366	-0.0112	0.7556	-0.7291	-0.8254	0.3668	-1.255	0.4521	0.3409	-1.7226	-0.0567	0.5149	-0.5224	-0.0731	-0.5385	0.6169	0.9104	0.4946	0.4856	0.9011	0.2967	-1.2009	-0.8395	-1.1761	-0.0106	-0.3959	0.1429	0.6036	-0.3452	0.4769	-0.2533	-0.3536	-2.1277	2.6598	0.7488	0.004	0.5961	0.3106	-0.0368	-0.2649	-0.1309
YBX1|YB-1_pS102	-1.1133	0.54	1.876	0.3146	-0.5976	1.5577	0.2392	0.0284	-1.5315	0.8385	-0.476	-1.0954	-1.4991	0.5441	-0.742	0.4085	-0.8206	0.8982	0.3378	0.5495	-0.3242	-0.6316	-0.9034	-0.2032	-0.1979	-1.1	-0.8545	-0.3357	0.3101	1.9397	-0.9121	-0.6909	0.005	0.6976	0.621	-0.4784	-1.6242	0.4229	0.1607	4.0763	0.5272	-0.0343	-0.2745	-0.55	-0.063	0.4562	-0.5237	0.2279
EIF4EBP1|4E-BP1_pT70	-1.7971	1.4568	0.0617	0.5015	-1.5052	1.3417	-0.6048	-0.7057	-1.2821	-0.2178	-0.4979	0.3877	-2.0745	0.0875	0.7844	0.0715	-1.8536	-0.3184	0.8063	-0.7699	0.5689	-0.0683	0.5459	-0.6137	1.7205	-1.1704	-0.08	1.5287	-0.1682	-0.0126	-0.7532	0.2069	-0.0597	-1.1779	1.1841	-0.3104	-1.5248	0.2151	0.0329	2.6656	0.2533	-0.18	1.0895	-0.1407	1.854	0.2744	0.3819	-0.1342
ARAF|A-Raf_pS299	-0.6586	-0.7939	0.7696	0.3868	-0.4288	-0.3622	-0.7784	-0.5778	-0.7344	0.252	-0.285	-0.3143	-0.2655	0.3454	1.4201	-1.1728	-0.5777	0.2147	-0.928	-1.0711	1.2377	-0.0038	-0.5802	-0.5445	-0.0454	-0.4599	-0.1364	0.3983	-0.0539	0.2897	0.5819	-0.2331	0.8863	0.424	0.6469	-0.765	-0.222	1.1287	0.5707	4.6011	-2.7642	-0.4271	0.8556	0.0666	0.2706	0.8161	0.0517	-1.0299
ANXA7|Annexin_VII	0.4717	-0.7703	2.0699	-0.5702	2.8118	-0.3343	-0.8871	0.1788	0.1547	-1.2424	0.9425	0.3877	0.4841	0.0006	0.4946	-1.1313	1.2564	-1.0415	-1.7931	-0.7872	-0.7607	-0.5853	-0.9372	1.3113	-0.0188	-0.8473	1.4928	-0.6263	-0.7981	0.3824	1.3943	0.5335	0.9364	-1.2338	1.0663	1.3205	0.4066	-0.7162	0.202	-0.8987	0.9821	-0.2116	0.8083	-0.3536	-1.2123	-0.8135	-0.0089	-1.5095
ARID1A|ARID1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRAF|B-Raf	-0.3105	-0.8836	-4.147	1.7076	0.8182	0.7193	-0.5218	0.9413	-0.3923	-0.7585	1.0924	0.1492	0.2711	-0.8469	-0.8505	-0.0912	0.2565	0.6622	-0.8588	-0.8528	0.5635	1.2886	0.0846	1.1004	1.3955	-0.1386	0.61	0.4166	-0.86	0.4641	-0.1142	0.4379	0.0283	0.5469	0.6673	0.9283	0.2238	-0.4325	-1.4301	-0.3246	1.0273	-0.51	-0.4297	0.9897	0.9449	-0.6762	-1.8487	-1.057
BAD|Bad_pS112	-0.4851	-0.0064	-2.1611	-0.1052	-3.5906	-0.0756	-0.2651	0.6257	-0.9201	0.1283	-1.5407	-0.961	-1.1772	0.8089	0.9254	0.4175	-0.5063	0.7777	0.2782	0.3795	0.2415	0.1836	0.5665	0.9166	-0.5871	-0.8788	-1.3503	-0.0544	1.4518	0.4886	-0.5824	-0.55	0.792	1.407	0.658	0.771	0.4597	1.0221	0.1094	-0.2734	2.5569	0.6809	-0.3237	-0.7678	0.056	0.5042	-0.8266	0.782
BAP1|Bap1-c-4	1.5477	0.3429	-3.3238	-0.5379	-0.1206	1.1051	-0.4153	0.304	0.248	0.5891	-0.1512	-0.3494	1.7405	-0.8654	0.6649	-0.5318	-0.3079	1.4778	0.2661	0.8691	0.2871	0.9437	-0.2925	1.6373	1.4547	-0.1012	0.4975	0.2118	-0.7704	0.2864	-1.4886	0.5659	0.6608	-0.107	-0.0123	-0.1298	0.1931	-0.0361	-0.358	-2.0262	-1.8647	-0.2597	-1.6203	-0.3295	0.992	0.1878	-1.6565	0.5827
BRCA2|BRCA2	0.8361	0.6385	2.7337	-0.2238	1.1798	-0.2514	-0.6311	0.0378	0.0698	0.4178	-0.4209	0.2096	-0.7817	0.1949	-0.4744	0.2271	-1.5569	-0.4902	0.3842	-0.3673	1.7831	-0.5037	-0.2484	-0.6211	-0.2816	-0.8382	0.097	-0.0545	0.2045	-0.4446	-1.5338	0.4746	-1.0041	-0.8002	0.1005	-0.4916	-0.5346	-1.7067	1.7766	3.5844	-1.2859	-0.3675	0.9094	-1.0015	-0.3176	0.297	0.1782	0.8985
MS4A1|CD20	1.5413	0.6186	1.37	0.255	0.2068	1.0387	-0.2914	-0.1533	-0.0029	-0.1421	-0.8477	-0.785	0.3834	-1.086	-0.3242	-1.5532	-0.2882	0.6405	0.2752	-0.2083	-0.4961	-0.276	-0.4077	1.0301	1.5589	-0.5588	0.3068	-0.2906	-0.2539	-0.7359	-1.3508	1.3931	-0.425	-1.5652	0.5535	-1.254	0.2435	-0.2971	0.4814	3.7384	-1.7242	-1.0196	-0.1852	-1.3366	-0.0552	0.2464	1.5589	0.4737
CCNE2|Cyclin_E2	1.2106	-0.1024	0.942	-0.1399	0.4434	1.2792	-0.4942	-0.8083	-0.0734	-0.2927	-0.5221	-0.005	1.5471	-1.3026	1.0389	-1.4656	-0.1265	1.6473	0.2975	-0.6783	-0.3428	-0.4108	-0.5657	2.6501	1.3369	-0.8794	0.1501	-0.3751	0.1375	0.1497	-1.4989	0.4166	-0.0689	-1.6643	1.3276	-1.0955	-0.3309	-0.935	0.2304	2.5255	-1.7105	-0.2647	-0.769	-1.1729	-0.0818	-0.316	0.2544	0.9086
ETS1|ETS-1	-0.2341	1.9592	1.3415	0.2509	0.6243	0.4336	-0.4221	0.1069	-0.1311	-0.0673	0.021	-0.3753	-0.948	-0.6701	-0.616	-1.6604	0.9103	-0.7108	-0.4161	-0.2421	-0.4542	-0.8677	0.2069	-0.9409	0.392	-0.1696	-0.024	-0.3323	0.0127	-0.7603	-0.5253	0.3563	-0.0353	-1.2418	-0.5361	-0.5284	0.2075	-0.292	0.6981	3.3434	0.6747	-1.1674	0.5142	-0.07	-0.5236	-0.1919	3.8948	-0.7941
